זץ,אורן חזן בראשות צומת
ין,איחוד בני הברית - בראשות רב חובל בשארה שליאן
ץי,אני ואתה - מפלגת העם הישראלית בהובלת דר' אלון גלעדי
ן,בטח - ביטחון חברתי בראשות סמיון גרפמן
נר,גשר בראשות אורלי לוי אבקסיס
מחל,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
ר,הרשימה הערבית בראשות מוחמד כנעאן
ךק,התקווה לשינוי
נז,זכויותינו בקולנו
ףך,חינוך
זנ,יחד בראשות אלי ישי
ל,ישראל ביתנו בראשות אביגדור ליברמן
כ,כולנו הימין השפוי בראשות משה כחלון
קף,כל ישראל אחים ופעולה לישראל
נץ,מגן בראשות גל הירש
ןנ,מנהיגות חברתית
יז,מפלגת הגוש התנ"כי
מרצ,מרצ - השמאל של ישראל
ףי,פשוט אהבה - כי כולן/ם בני אדם
ק,צדק לכל כי הגיעה העת למען החי. האדם. והאדמה
ףנ,שווים
יץ,אחריות למייסדים בראשות חיים דיין
טב,איחוד מפלגות הימין - הבית היהודי, האיחוד הלאומי עוצמה יהודית
קי,ארץ ישראל שלנו
זך,ברית עולם
נ,הימין החדש בראשות שקד ובנט
ףז,הפיראטים בראשות האינטרנט פתק לשלשול
שס,התאחדות הספרדים שומרי תורה
ז,זהות - תנועה ישראלית יהודית בהנהגת משה פייגלין
ום,חדש תעל בראשות איימן עודה ואחמד טיבי
ג,יהדות התורה והשבת אגודת ישראל - דגל התורה
י,ישר - דמוקרטיה אמיתית
ןך,כבוד האדם
פה,כחול לבן בראשות בני גנץ ויאיר לפיד
ץ,כלכלה ירוקה - מדינה אחת
קן,מהתחלה
זי,מפלגת האזרחים הוותיקים
אמת,מפלגת העבודה בראשות אבי גבאי
ףץ,נ נח - הרשימה הממלכתית - תרימו את הראש
צק,צדק חברתי
דעם,רעמ-בלד - הרשימה הערבית המאוחדת ברית לאומית דמוקרטית
